Supplier Name,Sum of Invoice Nett Amount
All About Care,"1,464.52"
Veecare Ltd t/a Tralee Rest Home,"1,464.52"
Addlestone Lodge,"1,467.67"
Tudor House,"1,468.99"
Care Providers,"1,474.12"
Garth House Nursing Home,"1,475.24"
Clarendon Nursing Home,"1,478.47"
Epsom Lodge Carer Home LTD,"1,484.46"
Moorwood Cottage,"1,497.04"
Lewis Price Associates,"1,500.00"
The Warren Residential Home,"1,504.38"
Devonshires Solicitors,"1,507.65"
Ancer Spa (GSE) Ltd,"1,513.00"
Etc Venues Ltd,"1,515.36"
Surrey Rest Homes Ltd,"1,527.19"
The Oaks Nursing Centre,"1,540.23"
Jewish Community Housing Association Ltd,"1,541.12"
"Weybourne Residential Care Home, Avante Partnership","1,547.11"
Carewatch (Lambeth),"1,551.54"
Share Community Ltd,"1,557.61"
Farmstead Nursing Home,"1,567.62"
Kenward Trust,"1,574.32"
Oban House,"1,587.33"
Elmwood Nursing Home,"1,590.43"
E.T.C Sports Surfaces Ltd,"1,600.00"
Bourne Housing Society Ltd,"1,617.44"
Peters Ltd,"1,618.16"
Pelham House,"1,619.52"
Rogers & Co Chartered Building Surveyors,"1,621.62"
Safeguard & Security,"1,630.75"
NowMedical,"1,635.00"
God's Ports Housing Society Ltd,"1,648.14"
C. Goodman & Sons Ltd,"1,667.00"
Kenwood Care Home,"1,679.27"
Centre For Sheltered Housing Studies,"1,680.00"
New Century Care Ltd,"1,688.03"
Mark Insulations Ltd,"1,695.60"
Pearl House,"1,713.06"
Nicholas James Care Homes Ltd,"1,713.99"
Family Investment Four Ltd,"1,714.32"
Pitney Bowes Management Services Ltd,"1,714.65"
The High Street Gift Voucher,"1,718.25"
EMM LANE AND WESTBANK CARE HOME,"1,721.87"
Vermont Lodge,"1,725.46"
OAK Residential Home,"1,725.80"
The Friendly Almshouses,"1,729.72"
Railex (Filing) Ltd,"1,733.36"
Meadbank Nursing Centre,"1,736.26"
Barchester Healthcare Homes Ltd,"1,745.02"
Albany Lodge Nursing Home,"1,757.52"
The Swallows,"1,770.31"
R82 UK Ltd,"1,777.00"
Howard Castle Care Centre,"1,789.14"
Encription Ltd,"1,800.00"
Cognetix Limited,"1,800.00"
Dudley House Care Home,"1,803.84"
Precision Press Ltd,"1,820.00"
Beech Care Ltd,"1,820.98"
Chris Yates Parking Associates Ltd,"1,826.05"
Sherico Care Homes Ltd,"1,828.56"
Caburn Supported Services Ltd,"1,837.50"
Royal Mail Group Plc,"1,837.58"
College Engineering Services,"1,841.66"
Site Rescue,"1,865.00"
Kent Community Housing Trust,"1,868.24"
Edf Energy Plc,"1,880.47"
Equifax Plc,"1,881.00"
Presentation,"1,888.12"
Ark On The Park,"1,891.47"
Foley House,"1,901.00"
Leys Park Care Centre,"1,902.72"
Beckett Corporation Ltd,"1,920.00"
Lambeth Childminding Association,"1,930.00"
Rusthall Lodge Nursing Home,"1,939.31"
The London Care Project,"1,955.61"
Greenbushes Nursing Home,"1,957.26"
Koupparis Associates,"1,957.81"
