Supplier Name,Sum of Invoice Nett Amount
TBS Adaptations Ltd,"18,424.29"
Hymans Robertson Consultants & Actuaries,"18,430.00"
Care2Share Residential Family Centre,"18,540.00"
Moments Fostering Ltd,"18,729.40"
Ridge & Partners,"18,793.61"
Callaway & Co,"18,866.88"
N Hosanee (Roselands),"18,869.83"
Orbis Property Protection Ltd,"18,876.95"
Royal Mail,"19,188.52"
R@W Logistics Ltd,"19,240.78"
Silverdell Management Services LLP,"19,500.00"
Sussex Health Care,"19,516.29"
Swaay,"19,573.40"
Aquaneed Ltd,"19,582.50"
Blocklin House Ltd,"19,666.21"
Link Fostering Agency,"19,796.55"
Mr J K S Patel,"19,807.83"
Bryn Melyn Care Ltd,"19,870.56"
The Means,"19,995.92"
Greenhill Jenner Partnership Ltd,"20,000.00"
Moor Information Systems Ltd T/A Moor Consulting,"20,000.00"
S P Homes T/AS Mulberry House,"20,021.91"
Edward Ofori- Afriye,"20,091.33"
Little Sisters Of The Poor,"20,159.09"
Redlands Resthome,"20,160.11"
South London Family Centre,"20,220.00"
Norbury Hall Residential Care Home,"20,575.47"
Greenwich Council,"20,611.03"
St Mary's Care Ltd,"20,684.83"
Lambeth Womens Aid - LWA,"20,776.40"
Mondale Estates Ltd,"20,904.89"
Acorn Residential Home,"21,016.02"
Banya Family Placement Agency,"21,026.33"
Hestia Housing And Support,"21,154.64"
Watmores Solicitors,"21,243.79"
Document Technology Ltd,"21,495.47"
Ashfords,"21,532.50"
Sherwood Cars Ltd.,"21,607.28"
Allied Supported Living Ltd,"21,636.17"
New Initiatives Youth & Community Assoc,"21,875.00"
Complete Care,"22,120.50"
XCEL 2000 Fostercare Services Ltd,"22,189.71"
Amber Care (East Anglia) Ltd,"22,215.52"
Hampton Project Ltd,"22,250.00"
Saltash Enterprises Ltd,"22,365.00"
Care Principles,"22,492.05"
Single Homeless Project,"22,739.76"
Basis Ltd,"23,050.00"
Diamond Build Plc,"23,278.14"
Badenoch & Clark,"23,377.02"
Southern Cross Healthcare Ltd,"23,448.93"
Plan Personnel,"24,036.86"
CfBT Education Trust,"24,080.00"
Penna Barkers,"24,124.25"
Solace Women's Aid,"24,154.24"
Furnace Managed Services Ltd,"24,186.00"
Next Step Fostering,"24,373.86"
AmicusHorizon Ltd,"24,406.52"
Mindstretchers Ltd,"24,451.25"
The Priory Lodge School,"25,000.00"
The Fostering Foundation Ltd,"25,136.00"
Alphatrack Systems Ltd,"25,390.48"
Castlebar Health Care Ltd,"25,725.97"
Metric Group Ltd,"26,117.63"
Atkins Ltd,"26,469.07"
Waterloo Action Centre,"26,646.18"
Temple Lifts Ltd,"27,099.80"
Insight,"27,360.12"
Steeles (Law) LLP,"27,439.91"
Sankofa Care Ltd,"27,445.67"
Clifton Manor,"27,816.61"
Mears,"27,839.43"
Shepheard Epstein Hunter Plc,"27,890.00"
Centre 70 Community Association,"28,096.00"
Royal Mencap Society,"28,717.94"
Age Concern,"28,819.32"
A*Transport Ltd.,"28,961.00"
Kartikeya Solutions Limited t/a Unique Children Home,"29,571.30"
Brixton Advice Centre,"29,588.00"
Leonard Cheshire Chipstead Lake,"29,943.08"
Catch22,"30,285.71"
acevo (Association of Chief Executives of Voluntary Organisations),"30,305.75"
The Caldecott Foundation,"30,455.02"
Tact,"30,605.08"
Anthony Gold Lerman & Muirhead,"31,082.33"
Enterprise Plc,"31,144.43"
Castlebeck Care (Teesdale) Ltd,"31,730.49"
Fusion Lifestyle Ltd,"32,034.00"
Dell Computer Corporation Ltd,"32,087.43"
Eagle House School,"32,435.34"
Gazprom Marketing & Trading Retail Ltd,"33,347.50"
Penrose Housing Association,"33,769.41"
Heathbrook Primary School,"33,776.43"
Carr-Gomm Society Limited,"33,987.80"
Gold Knight Trading Ltd,"34,096.96"
St Michaels Fellowship,"34,209.98"
Ethelbert Homes,"34,229.64"
DTZ DTL Limited,"34,500.00"
Greater London Fostering,"34,689.42"
KONE plc,"34,709.51"
English Churches Housing Group,"34,928.64"
Jamma Umoja (Residential Services) Ltd,"35,127.00"
Ekaya Housing Association Ltd,"35,384.56"
Fredericks Mechanical Services Ltd,"35,477.34"
Clapham Community Project,"35,854.03"
Hilife Construction Co Ltd,"36,890.16"
The Frances Taylor Foundation,"37,494.91"
Tribal Consulting Ltd,"38,408.57"
229 Mitcham Lane Ltd,"38,414.79"
Care Unlimited,"38,729.04"
Crownwise Ltd,"38,886.49"
John Pelling Partners,"39,118.94"
Merton Citizens Advice Bureaux Ltd,"39,987.39"
Sanctuary Care Ltd,"40,210.13"
Lambeth Law Centre,"40,347.72"
CT Plus,"40,590.27"
Alcohol Recovery Project,"41,164.16"
Lakehouse Contracts Ltd,"41,281.00"
BUPA Care Homes,"41,405.44"
Stonewest Ltd,"41,463.70"
Sorag Carers And Special Needs Project,"41,549.35"
Newham House Supporting People Ltd,"42,441.62"
Festival Care (Support) Ltd,"42,456.70"
Blakedown Landscapes (SE) Ltd,"42,848.82"
Orland Limited & Blue Chip Trading Limited No 2 Account,"43,060.50"
Nas Services Ltd,"44,086.51"
The Loddon School,"44,687.75"
South Bank Employers Group,"45,903.06"
The Electrical & Plumbing Co Ltd,"46,517.36"
Alzheimers Society,"47,092.05"
RedQuadrant Ltd,"47,600.00"
Deepdene Care Limited,"48,272.94"
South London YMCA,"48,631.57"
DWP Jobcentre Plus Number Account,"48,784.00"
Cunningham Lindsey United Kingdom,"50,000.00"
L'Arche Lambeth Community,"50,140.85"
Family Mosaic,"50,851.38"
Northgate Information Solutions Uk Ltd,"50,991.00"
Hunter & Partners,"51,154.28"
British Gas,"51,674.78"
Southern Electric Plc,"52,650.05"
Emo Oil Ltd,"52,865.57"
Sunbeam Fostering Agency Ltd,"52,900.61"
Court Lodge,"53,678.71"
Blizz Hotels,"53,946.21"
Black Cultural Archives,"54,170.94"
Go Mad Thinking,"54,793.80"
Nacro,"54,845.00"
Holmdene Housing Ltd,"56,428.21"
Regard Partnership,"56,598.08"
Metropolitan Housing Trust London,"57,832.21"
Holistic Community Care Ltd,"58,268.80"
Viglen Limited,"58,475.84"
Wellington Mills Housing Tmc,"59,016.78"
Sprunt Ltd,"61,160.08"
Gardiner & Theobald LLP,"61,229.70"
British Telecommunications Plc,"61,869.01"
Partnership in Care Ltd,"61,925.36"
Astra Homes Ltd,"62,599.15"
Kent County Council,"63,599.99"
Underley Educational Services,"64,489.60"
Holland Rise And Whitebeam Close Tmo,"64,692.50"
Laurels Care Centre Ltd,"64,846.04"
Cambian Autism Services Ltd,"65,872.01"
Richmond Management (Northern) Ltd,"66,250.00"
BHHI,"66,481.73"
Four Seasons Health Care Ltd,"66,923.11"
KPMG LLP,"67,500.00"
Supported Fostering Services,"68,459.26"
Families For Children (South) Ltd,"68,770.20"
Premier Security Solutions Ltd,"70,110.00"
Royal Bank Of Scotland Plc,"71,191.05"
Quality Protects Children Ltd,"73,364.31"
Lambeth Voluntary Action Council,"73,500.00"
Seytos Residential,"77,933.70"
Community Links Services,"80,966.14"
Tadley Horizon School,"81,216.31"
Ebonycare,"82,036.05"
ENER-G Combined Power Ltd,"82,870.27"
Gowlain Building Group Contractors Ltd,"84,540.76"
The Rathbone Centre,"84,800.82"
F S Properties,"85,519.25"
PricewaterhouseCoopers,"85,727.10"
Healthcare & Transport Services,"86,011.06"
Kingsdale Nursing Home,"86,547.99"
Cranfield Investments Ltd,"86,925.28"
Norbury Property Services (London) Ltd,"87,012.56"
Pacca TMO Ltd,"88,816.76"
Turners Cleaning & Support Services Ltd,"89,634.37"
Disability Advice Service Lambeth,"91,631.66"
Interserve Fm Limited,"92,406.94"
Westminster Home Care Ltd,"93,273.82"
Solor Care Group Ltd,"93,665.25"
Deloitte LLP,"93,692.00"
Liberty Printers Ltd,"95,143.64"
London South Bank University,"97,020.00"
Solid Homes Ltd,"99,274.93"
G & D Higgins Mechanical Services Ltd,"99,693.40"
British Gas Services Ltd,"100,192.93"
EPS Maintenance,"100,517.82"
Lambeth Community Health,"100,560.75"
Waltham Estate Resident Management Organisation,"101,201.52"
The Fostering Partnership,"103,040.45"
Metra Housing Co-Op,"105,796.35"
Lancedrum Ltd,"106,201.77"
Metropolitan Support Trust,"107,865.88"
Meadowside Building Development Ltd,"108,770.72"
Groundwork London,"109,248.88"
Caretech Community Services Ltd,"109,444.40"
Sense,"110,043.69"
ISS Eaton,"111,485.53"
T E Beach (Contractors) Ltd,"112,236.66"
Lambeth Mencap,"114,338.90"
Legion Group plc,"114,700.33"
Invicta Building Services Ltd,"115,102.00"
Cetra Housing Co-Operative Ltd,"120,462.46"
Blackford Education (Exmoor) Ltd Trading as Libra,"121,873.71"
National Fostering Agency,"124,330.18"
Cottington Close Tmc,"124,917.14"
Cambian Care Services,"125,723.78"
Foster Care Associates Ltd,"136,353.51"
Oco Ltd,"139,828.33"
Pinnacle Psg,"141,883.33"
Cmg Homes Ltd,"142,461.61"
Blenheim Gardens Tmo,"145,662.96"
Frankham Consultancy Group Ltd,"146,955.50"
Greenwich Leisure Limited,"147,620.69"
United Residents Housing,"148,254.32"
Carillion Capital Projects Ltd,"149,925.45"
Klearwater Supported Homes Ltd,"179,022.60"
Cowley EMB Ltd,"180,039.37"
Community Housing Association Ltd,"182,754.43"
Centrepoint Soho Ltd,"182,870.60"
Prime Estates Property Management,"188,662.50"
Corona Gas,"192,345.17"
Queens Oak Care Centre,"197,809.04"
Mr D S Taak,"210,840.03"
Neilcott Construction Ltd,"218,338.79"
Myatts Field North TMO,"223,667.85"
Allied Healthcare (Uk) Ltd,"232,796.90"
Limetree Healthcare Ltd,"237,939.70"
Windmill Care Centre,"243,372.37"
RM Education plc,"253,060.00"
Midos Estates Ltd,"260,657.72"
Lengard Ltd,"261,649.62"
London Councils,"261,951.79"
The Hesley Group Ltd,"268,420.85"
Roupell Park Residents Mgt Coop Ltd,"273,412.53"
Southside Partnership,"278,857.67"
St Mungo Association,"290,047.00"
Lambeth Lighting Services,"291,130.81"
Thorlands Emb,"296,567.75"
Ethelred Tmo,"325,065.28"
Quadrant Security Group Ltd,"346,657.50"
Interserve Technical Services Ltd,"348,662.05"
Capita Business Services Ltd,"349,543.60"
Lambert Smith Hampton,"375,970.63"
Denhan International,"403,218.85"
MJF Corporate Guarding Ltd,"412,598.95"
Mears Limited,"471,040.71"
Thames Reach Bondway,"483,312.97"
Fountains Environmental Ltd,"500,705.44"
Harrison Catering Services Ltd,"517,641.15"
Breyer Group Plc,"528,093.11"
NSL Limited,"559,095.33"
Loughborough Emb Ltd,"575,000.00"
F M Conway Ltd,"780,324.65"
Western Riverside Waste Authority,"1,065,446.76"
Morrison Facilities Services Ltd,"1,385,217.56"
Thames Water Utilities Ltd,"1,653,846.87"
Lambeth Living Ltd,"1,685,814.84"
Veolia ES (UK) Ltd,"2,041,992.46"
Matrix SCM Ltd,"2,495,546.62"
Engage Lambeth Limited,"3,932,196.05"
