Supplier Name,Total
Mr J K S Patel,"22,688.90"
Frankham Consultancy Group Ltd,"22,606.24"
Tunstall Group,"22,458.07"
G L Hockfield & Co Solicitors,"22,000.00"
Cyntra Limited,"21,963.08"
Parkview Nursing Home,"21,807.33"
Grafham Grange Special Educational Trust,"21,787.00"
Astra Homes Ltd,"21,040.19"
AWICS,"20,996.36"
Gas Advisory Services Ltd,"20,814.36"
Crownwise Ltd,"20,703.36"
Barnes Woodfield Limited,"20,690.71"
Regard Partnership,"20,540.73"
Royal Bank Of Scotland Plc,"20,161.59"
Unique Personnel (Uk) Ltd,"20,046.78"
Norcrest (2000) Home Limited,"19,380.24"
Consensus Healthcare Ltd,"19,324.07"
Glen Care Group,"19,185.90"
Tracescent Ltd,"19,117.28"
Holistic Community Care Ltd,"19,087.27"
Leonard Cheshire Disability,"18,516.07"
One Housing Group,"18,446.56"
Kairos Community Trust,"18,158.56"
4Children Trading Ltd,"18,148.00"
Trimmer CS,"17,838.91"
Integrated Services Programme,"17,811.90"
Gibsons Lodge,"17,804.33"
Cycle Training UK Ltd,"17,410.50"
Keyring Living Support Network,"17,238.56"
United Response,"17,158.72"
South Bank Employers Group,"16,950.21"
N Hosanee (Roselands),"16,625.97"
A Z Law Solicitors,"16,625.00"
Medicrest Limited t/a Acorn Care Homes,"16,428.91"
Ssg Landscape Construction Ltd,"16,351.76"
Gleeds Management Services Ltd,"16,345.00"
Partnership in Care Ltd,"16,154.10"
Royal Mencap Society,"15,837.54"
Together Working for Wellbeing,"15,484.96"
Barka UK,"15,342.48"
Unified Care Ltd,"15,269.77"
Greater London Fostering,"15,143.38"
Parkcare Homes Ltd (No.2) - KENT,"15,025.42"
Mcrae Residential Care Services,"15,000.00"
London Mutual Credit Union,"14,968.00"
Priory Secure Services Chadwick Lodge,"14,880.00"
Little Sisters Of The Poor,"14,757.33"
Your Story,"14,737.79"
Joycare Home Services Ltd,"14,652.37"
Brookdale Healthcare,"14,539.00"
Consensa Care,"14,469.60"
Viridian Housing,"14,461.62"
Lambeth Law Centre,"14,453.49"
The London Eye Company Ltd,"14,421.74"
Cartel Security Systems Plc,"14,325.18"
ASRA Greater London Housing Association Ltd,"14,224.88"
Penrose Housing Association,"14,224.84"
P E Wilson & Co,"14,098.93"
BT Redcare,"14,021.28"
Adminland Ltd,"13,962.40"
Springfield Road Ltd,"13,928.40"
Ashcroft Care Services,"13,849.03"
St Elizabeth's Centre,"13,561.07"
Network Rail Infrastructure Ltd,"13,480.27"
Hi Life Properties Ltd,"13,422.80"
Caretech Community Services Ltd,"13,367.14"
Kennedys,"13,264.00"
Mr Malek Wan Daud,"12,860.00"
AmicusHorizon,"12,850.88"
Southern Care Ltd,"12,844.29"
Direct Care Ltd,"12,835.80"
Foster Care Associates Ltd,"12,738.45"
3rd Leg Limited,"12,500.00"
Bishop Lloyd & Jackson,"12,500.00"
Johnson Austin Partnership LLP,"12,340.00"
Charlie Chaplin Adventure Playground,"12,000.00"
