Name,Address,Postcode,Notes,Easting,Northing
Ferndale Community Sports Centre,Nursery Road,SW9 8BP,0845 130 8998,530844.3658,175478.727
Clapham Leisure Centre,Clapham Manor Street,SW4 6DB,020 7926 0700,529686.2934,175555.7337
Flaxman Sports Centre,Carew Street,SE5 9DF,020 7926 1054,532062.447,176442.5493
Brixton Recreation Centre,27 Brixton Station Road,SW9 8QQ,020 7926 9779/9780,531158.2876,175539.6954
Brockwell Lido,Dulwich Road,SE24 0PA,020 7274 3088,531653.728,174382.958
